Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2014-12-22,63.201435,64.493706,64.57235,61.312027,66.44396,61.86316,61.545364,64.84114,64.78825,65.64375,66.396,63.403
2014-12-23,64.27559,64.62076,66.1611,62.869083,67.57912,62.027645,63.34421,66.35846,66.369576,66.23231,66.784,63.376
2014-12-24,64.51638,65.37694,66.412895,63.740448,67.69557,62.752506,64.16496,66.46029,66.828125,66.91317,66.935,63.343
2014-12-25,63.746284,64.40581,65.47172,63.683628,67.92395,61.88064,63.97822,66.608765,66.42936,66.16536,66.962,63.296
2014-12-26,63.299076,63.93207,64.91272,63.30529,66.813286,61.89696,64.44079,66.09546,65.731514,65.68936,66.928,63.237
2014-12-27,63.236347,63.486736,64.82559,63.03977,66.46768,61.847305,64.11143,65.90067,65.68677,65.377335,66.891,63.178
2014-12-28,63.20156,63.676353,64.7134,63.258022,66.44711,62.433273,64.59888,65.49556,65.324875,65.20476,66.86,63.124
2014-12-29,63.68312,63.749813,64.808304,63.722443,66.60212,63.26035,64.50312,65.62199,65.50664,65.1237,66.842,63.069
2014-12-30,63.677402,63.641422,64.971054,64.51497,65.84366,63.309643,64.7121,65.98979,65.57213,64.886086,66.895,63.024
2014-12-31,63.551487,63.23763,64.57943,64.094986,65.8268,62.846672,64.00667,65.7608,65.14636,64.894554,67.039,62.976
2015-01-01,63.47533,63.499775,64.187065,64.36166,65.00391,63.081257,64.40602,65.77929,64.41637,64.087524,67.283,62.892
2015-01-02,63.495,63.514347,63.953823,64.072624,65.467354,63.128624,64.23107,65.761475,64.53973,64.05506,67.606,62.832
2015-01-03,64.18651,64.37791,64.6066,64.52109,65.4158,63.658607,65.50123,66.213455,64.88746,64.63194,67.932,62.829
2015-01-04,65.02372,64.80846,65.26014,64.81109,66.67013,64.27502,66.023186,66.75614,65.89537,65.877014,68.197,62.863
2015-01-05,66.03695,65.84916,66.31489,65.603065,66.89945,65.11043,67.45979,67.09146,66.88957,66.61733,68.34,62.927
2015-01-06,66.165695,66.02718,66.81695,65.41878,67.287254,65.230995,67.05807,67.34131,66.99797,66.8116,68.308,62.962
2015-01-07,65.731804,65.809105,66.23516,65.22014,66.14843,64.693275,66.95062,67.00622,66.44114,66.340935,68.174,62.949
2015-01-08,64.69544,64.1578,65.04819,63.941845,65.48479,63.59181,65.42501,65.971115,65.13962,65.145775,68.05,62.921
2015-01-09,64.00093,63.959747,64.25325,63.226513,64.127495,63.06859,64.67515,65.023575,64.54942,64.33052,68.005,62.834
2015-01-10,63.6262,63.64788,63.920155,63.025333,63.95083,62.540325,63.895542,64.92955,64.01004,63.79832,68.081,62.762
2015-01-11,64.18543,64.132065,64.45189,63.299564,63.884365,63.275135,64.90561,65.09296,64.62047,64.26985,68.223,62.758
2015-01-12,65.52068,64.53248,65.31533,64.40019,64.884895,63.73723,64.88417,65.891464,65.568634,65.2979,68.287,62.811
2015-01-13,66.08822,65.40177,65.60308,65.02748,64.957306,64.79054,66.25405,66.33177,66.50938,65.79098,68.159,62.955
2015-01-14,66.58808,65.59153,66.05707,65.534386,65.37985,65.66612,65.52942,66.48224,66.5049,65.96389,67.879,63.134
2015-01-15,66.09596,65.42462,65.45786,65.14317,64.31992,65.99374,65.42157,65.973656,65.5985,65.63103,67.553,63.211
2015-01-16,64.930435,64.0346,64.648766,64.907814,63.39666,64.52292,63.681736,65.28358,64.40931,64.16894,67.274,63.119
2015-01-17,63.806305,63.30058,63.582558,63.752876,61.66135,63.31658,62.728745,64.278496,63.252422,63.060715,67.127,62.993
