Y,M,D,h,m,s,Hs,Tp,Dir
1979,2,8,6,0,0,0.912,10.857,52.955
1979,2,8,9,0,0,0.847,11.165,52.941
1979,2,8,12,0,0,0.79,11.29,53.231
1979,2,8,15,0,0,0.746,11.357,53.61
1979,2,8,18,0,0,0.729,11.385,54.005
1979,2,8,21,0,0,0.724,11.375,54.314
1979,2,9,0,0,0,0.728,11.343,54.472
1979,2,9,3,0,0,0.744,11.293,54.484
1979,2,9,6,0,0,0.76,11.233,54.476
1979,2,9,9,0,0,0.772,11.173,54.472
1979,2,9,12,0,0,0.775,11.105,54.489
1979,2,9,15,0,0,0.771,10.931,54.736
1979,2,9,18,0,0,0.762,10.78,54.676
1979,2,9,21,0,0,0.75,10.688,54.597
1979,2,10,0,0,0,0.733,10.637,54.516
1979,2,10,3,0,0,0.717,10.585,54.563
1979,2,10,6,0,0,0.71,10.545,54.492
1979,2,10,9,0,0,0.71,10.505,54.487
1979,2,10,12,0,0,0.707,10.445,54.571
1979,2,10,15,0,0,0.714,10.395,54.567
1979,2,10,18,0,0,0.73,10.335,54.527
1979,2,10,21,0,0,0.74,10.255,54.469
1979,2,11,0,0,0,0.743,10.177,54.329
1979,2,11,3,0,0,0.74,10.128,54.027
1979,2,11,6,0,0,0.734,10.12,53.635
1979,2,11,9,0,0,0.725,10.162,53.3
1979,2,11,12,0,0,0.714,10.253,53.054
1979,2,11,15,0,0,0.705,10.416,52.821
1979,2,11,18,0,0,0.712,12.313,51.03
1979,2,11,21,0,0,0.706,12.312,51.003
1979,2,12,0,0,0,0.705,12.283,51.005
1979,2,12,3,0,0,0.708,12.243,51.015
1979,2,12,6,0,0,0.714,11.251,51.834
1979,2,12,9,0,0,0.719,11.025,51.823
1979,2,12,12,0,0,0.726,10.978,51.865
1979,2,12,15,0,0,0.742,10.958,51.866
1979,2,12,18,0,0,0.76,10.928,51.938
1979,2,12,21,0,0,0.764,10.928,52.045
1979,2,13,0,0,0,0.763,10.888,52.163
1979,2,13,3,0,0,0.795,10.775,52.3
1979,2,13,6,0,0,0.805,10.703,52.454
1979,2,13,9,0,0,0.778,10.621,52.574
1979,2,13,12,0,0,0.77,10.531,52.64
1979,2,13,15,0,0,0.75,10.421,52.699
1979,2,13,18,0,0,0.755,10.293,52.64
1979,2,13,21,0,0,0.755,10.195,52.602
1979,2,14,0,0,0,0.693,10.135,52.627
1979,2,14,3,0,0,0.618,10.107,52.932
1979,2,14,6,0,0,0.583,10.088,53.045
1979,2,14,9,0,0,0.571,10.108,53.209
1979,2,14,12,0,0,0.66,10.155,53.239
1979,2,14,15,0,0,0.723,10.128,53.362
1979,2,14,18,0,0,0.767,10.271,53.342
1979,2,14,21,0,0,0.766,10.392,53.542
1979,2,15,0,0,0,0.737,10.52,53.786
1979,2,15,3,0,0,0.738,10.65,53.983
1979,2,15,6,0,0,0.725,10.77,54.104
1979,2,15,9,0,0,0.68,10.82,54.081
1979,2,15,12,0,0,0.776,10.82,53.909
1979,2,15,15,0,0,0.889,5.382,25.732
1979,2,15,18,0,0,0.868,5.76,27.156
1979,2,15,21,0,0,0.711,10.907,53.764
1979,2,16,0,0,0,0.715,10.947,53.577
1979,2,16,3,0,0,0.896,5.641,30.249
1979,2,16,6,0,0,0.977,6.124,30.575
1979,2,16,9,0,0,0.99,6.363,32.516
1979,2,16,12,0,0,0.944,6.382,32.993
1979,2,16,15,0,0,1,5.735,30.195
1979,2,16,18,0,0,1.052,6.075,30.362
1979,2,16,21,0,0,1.247,5.576,28.08
1979,2,17,0,0,0,1.205,5.634,29.597
1979,2,17,3,0,0,1.208,5.501,29.884
1979,2,17,6,0,0,1.227,5.577,30.515
1979,2,17,9,0,0,1.185,5.641,31.526
1979,2,17,12,0,0,1.247,5.536,31.579
1979,2,17,15,0,0,1.355,5.585,31.673
1979,2,17,18,0,0,1.533,5.908,32.458
1979,2,17,21,0,0,1.449,6.148,31.883
1979,2,18,0,0,0,1.143,6.819,35.981
1979,2,18,3,0,0,0.942,6.806,37.779
1979,2,18,6,0,0,0.855,9.68,56.97
1979,2,18,9,0,0,0.807,9.605,56.798
1979,2,18,12,0,0,0.774,9.51,56.506
1979,2,18,15,0,0,0.747,9.457,56.362
1979,2,18,18,0,0,0.745,9.559,56.642
1979,2,18,21,0,0,0.807,9.782,57.248
1979,2,19,0,0,0,0.803,9.995,58.294
1979,2,19,3,0,0,0.818,10.163,60.985
1979,2,19,6,0,0,0.834,10.232,62.394
1979,2,19,9,0,0,0.831,10.19,63.229
1979,2,19,12,0,0,0.813,10.053,62.706
1979,2,19,15,0,0,0.785,9.867,63.386
1979,2,19,18,0,0,0.748,9.747,63.503
1979,2,19,21,0,0,0.702,9.672,63.037
1979,2,20,0,0,0,0.658,9.625,62.171
1979,2,20,3,0,0,0.626,9.6,61.075
1979,2,20,6,0,0,0.609,9.587,60.422
1979,2,20,9,0,0,0.601,9.577,60.614
1979,2,20,12,0,0,0.595,9.568,60.951
1979,2,20,15,0,0,0.592,9.573,61.111
1979,2,20,18,0,0,0.592,9.636,61.14
1979,2,20,21,0,0,0.597,9.764,61.268
1979,2,21,0,0,0,0.616,11.53,59.394
1979,2,21,3,0,0,0.665,11.488,59.701
1979,2,21,6,0,0,0.689,11.478,59.462
1979,2,21,9,0,0,0.721,11.455,58.998
1979,2,21,12,0,0,0.721,11.353,58.361
1979,2,21,15,0,0,0.702,11.242,57.485
1979,2,21,18,0,0,0.699,11.212,56.616
1979,2,21,21,0,0,0.702,11.262,55.724
1979,2,22,0,0,0,0.697,11.293,54.671
1979,2,22,3,0,0,0.695,11.273,53.57
1979,2,22,6,0,0,0.696,11.175,52.663
1979,2,22,9,0,0,0.698,10.922,55.682
1979,2,22,12,0,0,0.704,10.688,54.835
1979,2,22,15,0,0,0.713,10.56,54.024
1979,2,22,18,0,0,0.73,10.453,53.28
1979,2,22,21,0,0,0.733,10.342,52.648
1979,2,23,0,0,0,0.741,10.183,52.201
1979,2,23,3,0,0,0.754,9.996,53.759
1979,2,23,6,0,0,0.768,9.856,53.554
1979,2,23,9,0,0,0.789,9.76,53.294
1979,2,23,12,0,0,0.825,9.688,53.074
1979,2,23,15,0,0,0.844,9.621,52.938
1979,2,23,18,0,0,0.833,9.548,52.917
1979,2,23,21,0,0,0.949,9.491,53.022
1979,2,24,0,0,0,0.976,9.428,53.297
1979,2,24,3,0,0,1.001,9.28,53.846
1979,2,24,6,0,0,0.985,9.086,54.762
1979,2,24,9,0,0,0.927,9.316,56.929
1979,2,24,12,0,0,0.932,10.17,58.964
1979,2,24,15,0,0,0.985,10.383,60.649
1979,2,24,18,0,0,1.039,10.533,61.94
1979,2,24,21,0,0,1.068,10.632,62.97
1979,2,25,0,0,0,1.094,10.713,63.707
1979,2,25,3,0,0,1.103,10.806,63.971
1979,2,25,6,0,0,1.088,10.961,63.77
1979,2,25,9,0,0,1.076,11.193,64.654
1979,2,25,12,0,0,1.067,11.621,64.157
1979,2,25,15,0,0,1.042,12.238,65.387
1979,2,25,18,0,0,1.02,12.355,65.368
1979,2,25,21,0,0,1.01,12.295,65.296
1979,2,26,0,0,0,1.014,12.105,63.614
1979,2,26,3,0,0,1.021,11.7,63.246
1979,2,26,6,0,0,0.974,11.358,63.071
1979,2,26,9,0,0,0.918,11.086,60.613
1979,2,26,12,0,0,0.868,10.926,60.567
1979,2,26,15,0,0,0.816,10.85,60.333
1979,2,26,18,0,0,0.772,10.845,60.381
1979,2,26,21,0,0,0.746,10.858,60.63
1979,2,27,0,0,0,0.725,10.816,60.396
1979,2,27,3,0,0,0.706,10.713,60.391
1979,2,27,6,0,0,0.691,10.621,60.357
1979,2,27,9,0,0,0.677,10.545,60.24
1979,2,27,12,0,0,0.662,10.492,60.003
1979,2,27,15,0,0,0.648,10.448,59.673
1979,2,27,18,0,0,0.64,10.407,59.178
1979,2,27,21,0,0,0.628,10.375,58.614
1979,2,28,0,0,0,0.596,10.365,57.996
1979,2,28,3,0,0,0.576,10.343,57.438
1979,2,28,6,0,0,0.665,10.348,56.588
1979,2,28,9,0,0,0.865,10.478,55.534
1979,2,28,12,0,0,1.067,6.404,29.27
1979,2,28,15,0,0,1.028,7.009,32.243
1979,2,28,18,0,0,0.824,8.187,37.095
1979,2,28,21,0,0,0.706,9.059,42.044
1979,3,1,0,0,0,0.528,10.249,53.492
1979,3,1,3,0,0,0.439,10.498,54.289
1979,3,1,6,0,0,0.399,10.58,54.878
1979,3,1,9,0,0,0.366,10.617,55.132
1979,3,1,12,0,0,0.316,10.51,54.773
1979,3,1,15,0,0,0.315,10.567,54.91
1979,3,1,18,0,0,0.353,10.585,55.055
1979,3,1,21,0,0,0.374,10.585,54.823
1979,3,2,0,0,0,0.348,10.447,54.844
1979,3,2,3,0,0,0.312,10.23,54.654
1979,3,2,6,0,0,0.308,10.153,54.548
1979,3,2,9,0,0,0.313,10.04,55.072
1979,3,2,12,0,0,0.319,9.938,54.942
1979,3,2,15,0,0,0.323,9.871,54.75
1979,3,2,18,0,0,0.328,9.837,54.518
1979,3,2,21,0,0,0.335,9.81,54.388
1979,3,3,0,0,0,0.343,9.783,54.219
1979,3,3,3,0,0,0.348,9.76,54.099
1979,3,3,6,0,0,0.352,9.753,54.014
1979,3,3,9,0,0,0.357,9.743,53.962
1979,3,3,12,0,0,0.355,9.725,53.881
1979,3,3,15,0,0,0.355,9.697,53.792
1979,3,3,18,0,0,0.41,9.659,53.692
1979,3,3,21,0,0,0.46,9.62,53.635
1979,3,4,0,0,0,0.44,9.583,53.707
1979,3,4,3,0,0,0.396,9.552,53.664
1979,3,4,6,0,0,0.38,9.525,53.61
1979,3,4,9,0,0,0.373,9.498,53.585
1979,3,4,12,0,0,0.379,9.47,53.487
1979,3,4,15,0,0,0.392,9.44,53.423
1979,3,4,18,0,0,0.448,9.402,53.36
1979,3,4,21,0,0,0.457,9.349,53.295
1979,3,5,0,0,0,0.443,9.295,53.375
1979,3,5,3,0,0,0.445,9.224,53.358
1979,3,5,6,0,0,0.459,9.12,53.285
1979,3,5,9,0,0,0.477,9.015,53.278
1979,3,5,12,0,0,0.498,8.899,53.23
1979,3,5,15,0,0,0.524,8.762,53.097
1979,3,5,18,0,0,0.569,8.62,52.782
1979,3,5,21,0,0,0.626,8.503,52.411
1979,3,6,0,0,0,0.667,8.449,52.353
1979,3,6,3,0,0,0.716,8.479,52.699
1979,3,6,6,0,0,0.779,8.59,53.235
1979,3,6,9,0,0,0.835,8.699,53.704
1979,3,6,12,0,0,0.884,8.726,53.936
1979,3,6,15,0,0,0.923,8.694,53.983
1979,3,6,18,0,0,0.942,8.613,53.852
1979,3,6,21,0,0,0.947,8.508,53.535
1979,3,7,0,0,0,0.943,8.384,53.805
1979,3,7,3,0,0,0.951,8.268,53.445
1979,3,7,6,0,0,0.969,8.228,53.025
1979,3,7,9,0,0,1.003,8.274,52.763
1979,3,7,12,0,0,1.064,8.42,52.697
1979,3,7,15,0,0,1.133,8.639,52.431
1979,3,7,18,0,0,1.199,8.88,52.829
1979,3,7,21,0,0,1.262,9.062,53.216
1979,3,8,0,0,0,1.304,9.159,53.546
1979,3,8,3,0,0,1.321,9.202,53.953
1979,3,8,6,0,0,1.35,9.235,53.748
1979,3,8,9,0,0,1.337,9.273,54.13
